TOPIC,DELIVERED_WEEK,FREQUENCY,PREV_FREQUENCY,WOW
"""アパレル (Apparel)""",2025-01-27,24033,,
"""アパレル (Apparel)""",2025-02-10,24079,24033,0.19
"""アパレル (Apparel)""",2025-02-17,25016,24079,3.89
"""アパレル (Apparel)""",2025-02-24,26453,25016,5.74
"""アパレル (Apparel)""",2025-03-03,28465,26453,7.61
"""アパレル (Apparel)""",2025-03-10,30386,28465,6.75
"""アパレル (Apparel)""",2025-03-17,31027,30386,2.11
"""アパレル (Apparel)""",2025-03-24,30745,31027,-0.91
"""アパレル (Apparel)""",2025-03-31,30969,30745,0.73
"""アパレル (Apparel)""",2025-04-07,31504,30969,1.73
"""コンピューター・ビデオゲーム (Computer & Video Games)""",2025-01-27,26232,,
"""コンピューター・ビデオゲーム (Computer & Video Games)""",2025-02-10,26608,26232,1.43
"""コンピューター・ビデオゲーム (Computer & Video Games)""",2025-02-17,28966,26608,8.86
"""コンピューター・ビデオゲーム (Computer & Video Games)""",2025-02-24,33814,28966,16.74
"""コンピューター・ビデオゲーム (Computer & Video Games)""",2025-03-03,39155,33814,15.80
"""コンピューター・ビデオゲーム (Computer & Video Games)""",2025-03-10,43513,39155,11.13
"""コンピューター・ビデオゲーム (Computer & Video Games)""",2025-03-17,45014,43513,3.45
"""コンピューター・ビデオゲーム (Computer & Video Games)""",2025-03-24,45468,45014,1.01
"""コンピューター・ビデオゲーム (Computer & Video Games)""",2025-03-31,46037,45468,1.25
"""コンピューター・ビデオゲーム (Computer & Video Games)""",2025-04-07,46727,46037,1.50
"""コンピューター・電子機器 (Computers & Electronics)""",2025-01-27,32859,,
"""コンピューター・電子機器 (Computers & Electronics)""",2025-02-10,33208,32859,1.06
"""コンピューター・電子機器 (Computers & Electronics)""",2025-02-17,35021,33208,5.46
"""コンピューター・電子機器 (Computers & Electronics)""",2025-02-24,37007,35021,5.67
"""コンピューター・電子機器 (Computers & Electronics)""",2025-03-03,39148,37007,5.79
